word,risk
air,0
alone,0
apart,0
art,0
barriers,0
BBQ,0
bike,0
books,0
camping,0
cat,0
clean,0
computer,0
contactless,0
cook,0
cooking,0
curbside,0
dirt,0
disinfect,0
distance,0
distant,0
dog,0
eating,0
fans,0
food,0
fresh,0
gardening,0
golf,0
healthy,0
hike,0
home,0
introvert,0
isolated,0
mail,0
mask,0
nature,0
ocean,0
online,0
outdoors,0
outside,0
painting,0
pet,0
phone,0
photography,0
plant,0
puzzle,0
read,0
run,0
running,0
sanitized,0
sanitizer,0
separated,0
sewing,0
shield,0
sky,0
sleep,0
sleeping,0
small,0
space,0
stay,0
staying,0
takeout,0
telework,0
tennis,0
things,0
vaccine,0
ventilation,0
virtual,0
walk,0
walking,0
wash,0
washing,0
well,0
withdrawn,0
write,0
young,0
ache,1
activities,1
airplane,1
alcohol,1
amusement,1
arena,1
bar,1
barber,1
basketball,1
beach,1
bowling,1
buffet,1
bus,1
busy,1
casino,1
celebration,1
chills,1
choir,1
church,1
cinema,1
classmates,1
classroom,1
close,1
club,1
community,1
concert,1
confined,1
contact,1
convalescence,1
coronavirus,1
cough,1
crowded,1
crowds,1
daycare,1
dense,1
dentist,1
dining,1
dinner,1
dirty,1
drinking,1
drunk,1
elderly,1
enclosed,1
entertainment,1
exercise,1
exposed,1
exposure,1
extrovert,1
facility,1
fever,1
flight,1
flying,1
football,1
friends,1
funeral,1
gather,1
gathering,1
going,1
groups,1
gym,1
haircut,1
handrails,1
handshake,1
holiday,1
hospital,1
hosting,1
hotel,1
hug,1
indoors,1
infect,1
infected,1
interact,1
large,1
mall,1
manicure,1
medical,1
mouth,1
movie,1
multigenerational,1
music,1
nails,1
nightclub,1
nose,1
office,1
old,1
park,1
party,1
pedicure,1
people,1
plane,1
play,1
playdate,1
playground,1
pool,1
proximity,1
public,1
quarantine,1
religious,1
restaurant,1
retail,1
salon,1
school,1
service,1
share,1
shop,1
shopping,1
sick,1
singing,1
smell,1
sneezing,1
social,1
socializing,1
sports,1
stadium,1
strangers,1
subway,1
surrounded,1
taxi,1
team,1
theater,1
tight,1
together,1
touch,1
trains,1
transportation,1
travel,1
treadmill,1
unwashed,1
venue,1
visit,1
visiting,1
wedding,1
work,1
working,1
worship,1
building,1
someone,1
attending,1
greeting,1
clean,0
house,0
shower,0
bath,0
hygiene,0
conference,1
webinar,0
learn,0
study,0
speak,0
attend,1
boat,0
ride,1
animals,0
domestic,0
chore,0
sweep,0
mow,0
lawn,0
grass,0
tree,0
woodworking,0
collecting,0
collection,0
streaming,0
river,0
think,0
ponder,0
announce,1
yell,1
instrument,0
language,0
hockey,1
gymnasium,1
listen,0
wind,0
cramped,1
spacious,0
stamps,0
letter,0
compose,0
sharing,1
poetry,0
novel,0
literature,0
typing,0
remote,0
desolate,0
streets,1
roads,1
protected,0
safe,0
dangerous,1
risk,1
risky,1
care,0
outgoing,1
worker,1
construction,1
private,0
exclusive,0
inclusive,1
shops,1
communal,1
practice,0
introspect,0
bed,0
rest,0
isolate,0
