Day3,,,
ID,Health,Rate of health decline,
48,97,-6,91
49,92,-42,50
50,40,-76,-36
51,67,-2,65
52,98,-10,88
53,30,-81,-51
54,14,-84,-70
55,24,-5,19
56,21,-82,-61
57,81,-48,33
58,96,-42,54
59,64,-28,36
60,59,-11,48
61,57,-8,49
62,30,-2,28
63,5,-42,-37
64,64,-50,14
65,70,-30,40
66,57,-2,55
67,20,-88,-68
68,96,-48,48
69,13,-92,-79
70,14,-44,-30
71,66,-96,-30
72,5,-92,-87
73,55,-7,48
74,28,-20,8
75,34,-88,-54
76,55,-64,-9
77,90,-1,89
78,4,-5,-1
79,7,-17,-10
80,76,-84,-8
81,77,-61,16
82,35,-18,17
83,10,-27,-17
84,18,-20,-2
85,58,-35,23
86,64,-88,-24
