scenario_id,,Scenario split,danger_level
1,A 95 year old,woman enjoys the sunshine in San Francisco at the local park with her daughter. Social distancing was observed and masks were worn.,1
2,A 16 year old,girl with asthma goes to the orthodontist. She does not socially distance but she wears a mask. Everyone she gets close to has had temperature checks.,3
3,A gardener pl,nts flowers and cuts the grass at the local cemetary. He makes sure to always wear a mask when anyone enters the park because he is 50 years old and has hyper-tension. ,1
4,A 22 year old,man with PTSD went to a crowded pharmacy. No one wore masks and he got sneezed on.,6
5,A 26 year old,"amazon driver delivers packages to mail rooms throughout the city, they often encounter maskless residents collecting their mail for extended periods of time. ",4
6,A 63 year old,"man goes camping with his friend, who lives in a different household. They share a tent and do not wear masks.",6
7,A 22 year old,EMT arrives at the scene of a single car crash. The car has flipped over and the driver is unconscious and bleeding heavily. The driver is 44 years old and will need immediate medical intervention if they are to survive. It is not known whether the driver has COVID-19 and is not wearing a mask.  ,3
8,A 70 year old,is going to the grocery store. She will be wearing a single layer mask. She plans to go to the grocery store at 9 am (not crowded). She is aware of the need to stay 6 feet away from others and will sanitize her hands after touching surface and does not remove her mask while in the store. ,2
9,A 24 year old,"DJ does a gig at a local club with 100 patrons, who are not wearing masks and are drinking beverages. They are in sectioned off areas which are socially distanced and all received temperature checks. ",5
10,You have food,"delivered to your house, the food is sealed and was not intentionally tampered with by your delivery driver. You asked for contactless delivery and you never got within 6 feet of the delivery person.  ",1
11,A middle aged,man with a severe cold goes to the local pub for a pint. He does not wear a mask while there. ,6
12,A group of 35,"year olds decide to go camping together, they wear masks on the way there and when near each other but take them off to eat at the park table. ",4
13,A 41 year old,"woman with Asthma went to a rave. No one was social distancing, and she got coughed on.",6
14,A 30 year old,"manager of a clothing store wears a mask while at work, but sometimes her patrons do not. She has to get close to them sometimes to tell them to put on a mask, which makes her nervous.",2
15,A cashier at ,hipotle works an 8 hour shift. He wears a mask for his entire shift and has a plastic barrier between him and customers at all times. He is 26 years old. ,2
16,A 65 year old,woman rides a train. No one is social distancing or wearing masks.,6
17,A 16 year old,stops at the Starbucks drive thru before going to high school. She does not wear a mask while talking to the employee who takes her credit card and was recently feeling sick but is feeling better that day. ,3
18,A middle aged,man is a manager at a large tech company. He goes into the office once a week to meet with the CEO in his well ventilated office while they both wear masks. ,2
19,A 73 year old,grandfather has a dinner party at his home with 7 friends. No one socially distances or wears masks.,6
20,A 67 year old,man who smokes and has high blood pressure goes to a gas station and pumps gas. He is standing within 3 feet of another person. Neither are wearing masks. He touches the gas pump and then eats a sandwich without washing his hands. ,5
21,Elliot Reed g,es to school in New Castle Connecticut for finance. He works from home when the pandemic hits and never goes out. All groceries and items he needs he gets contactless delivered to himself. ,1
22,A 59 year old,man who has diabetes goes for a walk outside without a mask during peak hours and encounters others in close proximity without a mask on. ,4
23,A workman on , big highway project rides in a truck with 4 other guys to their job site. None of them wear masks in the care and they all come from separate households. All the men are older besides the original workman who is 20. ,5
24,A 21 year old,goes to a dorm party with 20 other students in a small space. They are drinking alcohol and hanging out for 3 hours. No one is wearing a mask at any point. It is unknown whether any of the students have COVID-19. ,6
25,A 62 year old,smoker with high blood pressure goes to a coffee shop with one friend. No one socially distances or wears a mask.,6
26,A 100 year ol, art historian visits a museum. The only other person present is her personal assistant who is in her pod.,1
27,An 83 year ol," woman flies on an airplane. She wears a mask and has no known health issues. The airplane is crowded and no one is able to socially distance, but everyone wears a mask.",3
28,A 59 year old,healthy man goes to a coffee shop with one friend. They do not socially distance or wear a mask.,6
29,A 91 year old,grandmother goes to a hotel lobby brunch with 3 other people. No one wears a mask or socially distances.,5
