,age,person,action1
0,95,woman,enjoy the sunshine in San Francisco at the local park with her daughter Social distance be observe and mask be wear
1,16,girl with asthma,go to the orthodontist She do not socially distance but she wear a mask Everyone she get close to have have temperature check
2,gardener,and,cut the grass at the local cemetary He make sure to always wear a mask when anyone enter the park because he be years old and have hyper tension
3,22,man with PTSD,go to a crowd pharmacy No one wear mask and he get sneeze on
4,26,amazon driver deliver package to,mail room throughout the city they often encounter maskless residents collect their mail for extend periods of time
5,63,man,go camp with his friend who live in a different household They share a tent and do not wear mask
6,22,EMT arrive at the scene of a single car crash The car,have flip over and the driver be unconscious and bleed heavily The driver be years old and will need immediate medical intervention if they be to survive It be not know whether the driver have COVID and be not wear a mask
7,70,be go to the grocery store She will be wear a single layer mask She plan to go to the grocery store at be not crowd She be aware of the need to stay feet away from others and will sanitize her hand after touch surface and,do not remove her mask while in the store
8,24,DJ,do a gig at a local club with patrons who be not wear mask and be drink beverages They be in section off areas which be socially distance and all receive temperature check
9,have,to your house the food,be seal and be not intentionally tamper with by your delivery driver You ask for contactless delivery and you never get within feet of the delivery person
10,middle,with a severe cold,go to the local pub for a pint He do not wear a mask while there
11,group,year olds,decide to go camp together they wear mask on the way there and when near each other but take them off to eat at the park table
12,41,woman with Asthma,go to a rave No one be social distance and she get cough on
13,30,manager of a clothe store wear a mask while at work but sometimes her patrons,do not She have to get close to them sometimes to tell them to put on a mask which make her nervous
14,cashier,work an hour shift He wear a mask for his entire shift and,have a plastic barrier between him and customers at all time He be years old
15,65,woman,rid a train No one be social distance or wear mask
16,16,stop at the Starbucks drive thru before go to high school She,do not wear a mask while talk to the employee who take her credit card and be recently feel sick but be feel better that day
17,middle,be a manager at a large tech company He go into the office once a week to meet with the CEO in his well ventilate office while they both,wear mask
18,73,grandfather,have a dinner party at his home with friends No one socially distance or wear mask
19,67,man who smoke and,have high blood pressure go to a gas station and pump gas He be stand within feet of another person Neither be wear mask He touch the gas pump and then eat a sandwich without wash his hand
20,Reed,school in New Castle Connecticut for finance He work from home when the pandemic hit and never,go out All groceries and items he need he get contactless deliver to himself
21,59,man who,have diabetes go for a walk outside without a mask during peak hours and encounter others in close proximity without a mask on
22,workman,big highway project rid in a truck with other guy to their job site None of them,wear mask in the care and they all come from separate households All the men be older besides the original workman who be
23,21,go to a dorm party with other students in a small space They be drink alcohol and hang out for hours No one be wear a mask at any point It be unknown whether any of the students,have COVID
24,62,smoker with high blood pressure,go to a coffee shop with one friend No one socially distance or wear a mask
25,100,art historian visit a museum The only other person present,be her personal assistant who be in her pod
26,83,woman fly on an airplane She wear a mask and,have no know health issue The airplane be crowd and no one be able to socially distance but everyone wear a mask
27,59,healthy man,go to a coffee shop with one friend They do not socially distance or wear a mask
28,91,grandmother,go to a hotel lobby brunch with other people No one wear a mask or socially distance
29,23,boy,go on a first date in a park with a girl he meet on a date app They do not wear mask but do socially distance for the first part of the date
30,50,,software developer work remotely in Golden Gate park He sit feet away from all other people and doesnt wear a mask
31,46,man,go to a photography show at a local art gallery and wear a mask the whole time There be twenty other people present two of whom be not wear mask They be not distance well because the gallery be small
32,a,a year old woman,go to a college house party There be people there and no one wear a mask
33,lumber,alone in th forest and,go to work for a lumber company during the day he never get within feet of other people and doesnt wear a mask
34,executive,large technology company in Los Angeles visit a spa for a massage Her massage therapist wear a mask for the entire hour session but she,do not She have type diabetes
35,52,mom,take her son to get dinner at a restaurant with a patio They sit outside feet from other customers and their waiter wear a mask
36,33,man,have his twin brother over to his house for game night They do not live in the same house While they dont share any food or drink they sit near each other with no mask for hours
37,60,with high blood pressure,be fly to visit his grandkids He wear a ply mask and face shield and regularly sanitize his hand after come in contact with surface The plane be at near capacity and he be sit in the aisle seat
38,53,man with diabetes,go to the gym for an hour with his wife They wear mask while work out but others do not There be other people nearby them on the treadmills
39,22,EMT,tend to an elderly man who have just suffer a heart attack in a crowd café Most patrons be wear mask and keep feet of distance It be unknown if the endely man have COVID
40,14,boy,go to a candy shop All other patrons be wear face mask but the shop be extremely crowd
41,34,lawyer,attend a meet in a small conference room with other people all of whom remove their maks for the duration of their meet
42,therapist,in her well ventilate spacious office Patients,sit feet away from her and be require to wear mask
43,88,woman with emphysema,go to an outdoor park with five other people She be unable to socially distance but everyone be wear a mask
44,43,woman,be hike on a popular trail in the mountains She be wear a mask and regularly encounter other hikers not all of whom wear mask
45,59,woman with high blood pressure,go to a party in an apartment with other people No one wear a mask or socially distance
46,95,woman with health problems,spend an afternoon with her daughter who later test positive for COVID The woman be wear a mask but her daughter be not
47,barrista,trailer coffee shop,serve customers all morning He be years old and all his customers wear a mask when they interact with him
48,80,woman with lung cancer,go to a doctor appointment She wear a mask and be within feet of three other people all of whom test negative for COVID on a regular basis and whom wear mask and face shield
49,healthy,old man order food delivery The food,be leave at the door and he have no interaction with anyone
50,99,woman,go for a walk in the local park in Houston She be accompany by her grandson who have recently be expose to COVID and do not wear a mask around her
51,69,man,go to play billiards at a crowd bar with friend No one wear a mask or socially distance
52,44,man,watch a basketball game at home with his sons who dont usually live with him Everyone wear a face mask but sit very close together in the live room
53,4,be carry by their mother to the local park where they,sit on the grass together
54,67,stay home with her dog during the pandemic and,do not go into public space Only go out to have picnic on the lawn with her friends who all sit feet away from her
55,26,play soccer on a hot summer day with friends They all,wear mask but not securely and sometimes take them off to drink water
56,46,nail technician work every day at a nail salon and,wear a mask but some of her patrons do not and refuse to She have lung problems from the fume she inhale at work
57,healthy,old quarantine at home with her two small children who,go to school each day and do not socially distance or wear mask
58,group,in their early s,go to the park and drink together Everyone share drink and no one social distance include Remy Martin who have type diabetes
59,middle,play drum for his band at an outdoor venue that,be attend by people mask be not require The band stay feet from patrons at all time and do not wear mask
60,55,,go to the park with his dog there be no one else there
